Index,DelayTime,Check,AnswerTime
1,8.0000,Yes,34.59
2,8.0000,Yes,39.98
3,7.1200,Yes,37.67
4,7.1200,Yes,37.63
5,6.2400,Yes,64.34
6,6.2400,Yes,36.46
7,5.3600,Yes,34.64
8,5.3600,Yes,34.76
9,4.4800,Yes,34.45
10,4.4800,No,34.39
11,5.3600,Yes,34.68
12,5.3600,Yes,35.23
13,4.9200,Yes,35.29
14,4.9200,No,34.40
15,5.3600,Yes,37.93
16,5.3600,No,34.36
17,5.8000,Yes,42.84
18,5.8000,Yes,35.17
19,5.5800,No,35.66
20,5.8000,No,36.06
21,6.0200,No,37.69
22,6.2400,No,43.66
23,6.4600,Yes,40.46
24,6.4600,No,38.14
25,6.6800,Yes,43.65
26,6.6800,No,36.10
27,6.9000,Yes,34.20
28,6.9000,No,34.39
29,7.1200,Yes,56.77
30,7.1200,No,34.09
31,7.3400,No,37.65
32,7.5600,No,36.08
33,7.7800,No,47.66
34,8.0000,Yes,37.40
35,8.0000,Yes,36.12
36,7.8900,No,36.23
37,8.0000,No,38.20
38,8.0000,No,35.03
39,8.0000,Yes,35.39
40,8.0000,No,34.33
41,8.0000,No,47.50
42,8.0000,Yes,40.08
43,8.0000,No,35.36
44,8.0000,No,62.34
45,8.0000,No,93.66
ZERO,STILL,NOFEELING
NEXT,NEXT,NEXT
ReversalPtIndex,ExpIndex,DelayTime
1,10,4.48
2,12,5.36
3,14,4.92
4,18,5.8
5,19,5.58
6,35,7.999998
7,36,7.889997
ZERO,STILL,NOFEELING
